,Name,Rating,Genre,Release Date,Runtime,Director,Url
46,Exploits of a Young Don Juan,55,"Comedy,Drama",03/11/1987,1h 35m,Gianfranco Mingozzi,https://www.themoviedb.org/movie/81774
47,Gone Mom: The Disappearance of Jennifer Dulos,78,"TV Movie,Thriller,Crime",11/24/2021,1h 28m,Gail Harvey,https://www.themoviedb.org/movie/831223
48,Son,60,"Horror,Thriller",08/06/2021,1h 38m,Ivan Kavanagh,https://www.themoviedb.org/movie/754934
49,Dragon Fury,62,"Horror,Fantasy,Mystery",06/15/2021,1h 28m,Scott Jeffrey,https://www.themoviedb.org/movie/839436
50,Ripper Untold,66,Horror,06/28/2021,1h 25m,Steven Lawson,https://www.themoviedb.org/movie/820511
51,Run & Gun,49,"Action,Thriller",01/11/2022,1h 36m,Christopher Borrelli,https://www.themoviedb.org/movie/910596
52,Naruto Shippuden the Movie,72,"Animation,Action,Fantasy",08/04/2007,1h 34m,Hajime Kamegaki,https://www.themoviedb.org/movie/20982
53,Crazy Fist,73,Action,05/06/2021,1h 37m,Qing Guo,https://www.themoviedb.org/movie/859041
54,Time Is Up,62,"Romance,Drama",09/09/2021,1h 48m,Elisa Amoruso,https://www.themoviedb.org/movie/763148
55,Hacksaw Ridge,82,"Drama,History,War",11/04/2016,2h 19m,Mel Gibson,https://www.themoviedb.org/movie/324786
56,The Deep House,65,Horror,06/30/2021,1h 25m,Julien Maury,https://www.themoviedb.org/movie/672582
57,Ava,60,Drama,06/21/2017,1h 46m,Léa Mysius,https://www.themoviedb.org/movie/453354
58,Dragon Ball Z: Resurrection 'F',68,"Action,Animation,Science Fiction",04/18/2015,1h 33m,Tadayoshi Yamamuro,https://www.themoviedb.org/movie/303857
59,The Last: Naruto the Movie,79,"Action,Romance,Animation",12/06/2014,1h 54m,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442
60,Motherly,72,"Thriller,Horror",09/21/2021,1h 30m,Craig David Wallace,https://www.themoviedb.org/movie/768447
61,Gunpowder Milkshake,64,"Action,Crime,Thriller",07/14/2021,1h 54m,Navot Papushado,https://www.themoviedb.org/movie/574060
62,Demonic,48,"Horror,Thriller",08/20/2021,1h 44m,Neill Blomkamp,https://www.themoviedb.org/movie/774021
63,Boruto: Naruto the Movie,77,"Animation,Action,Comedy",08/07/2015,1h 35m,Hiroyuki Yamashita,https://www.themoviedb.org/movie/347201
64,Curious George: Cape Ahoy,35,"Animation,Adventure,Comedy",09/30/2021,1h 28m,Doug Murphy,https://www.themoviedb.org/movie/918832
65,Matando Cabos 2: La Máscara del Máscara,78,"Action,Comedy,Adventure",10/01/2021,1h 42m,Alejandro Lozano,https://www.themoviedb.org/movie/772436
66,Witch Hunt,72,"Fantasy,Horror,Thriller,Drama",10/01/2021,1h 32m,Elle Callahan,https://www.themoviedb.org/movie/670429
67,Digimon Adventure: Last Evolution Kizuna,78,"Animation,Action,Thriller,Adventure,Fantasy",02/21/2020,1h 34m,Tomohisa Taguchi,https://www.themoviedb.org/movie/571265
68,Wild Indian,64,"Crime,Drama,Thriller",12/09/2021,1h 30m,Lyle Mitchell Corbine Jr.,https://www.themoviedb.org/movie/656991
69,After Ever Happy,NR,Romance,08/25/2022,1h 59m,Castille Landon,https://www.themoviedb.org/movie/744276
70,Phobias,54,"Horror,Thriller",02/28/2021,1h 25m,Chris von Hoffmann,https://www.themoviedb.org/movie/793967
71,Sator,54,Horror,07/21/2019,1h 25m,Jordan Graham,https://www.themoviedb.org/movie/611651
72,Catwoman: Hunted,61,"Animation,Action,Crime",02/08/2022,1h 18m,Shinsuke Terasawa,https://www.themoviedb.org/movie/862491
73,Trolls Holiday in Harmony,76,"Animation,Fantasy,Family",11/27/2021,30m,Tim Heitz,https://www.themoviedb.org/movie/896221
74,An Egg Rescue,81,"Animation,Comedy",08/12/2021,1h 28m,Gabriel Riva Palacio Alatriste,https://www.themoviedb.org/movie/573164
75,Jurassic Hunt,50,"Action,Science Fiction,Thriller",08/26/2021,1h 23m,Hank Braxtan,https://www.themoviedb.org/movie/848278
76,"Yes, No, or Maybe Half?",67,"Animation,Drama,Romance",12/11/2020,53m,Masahiro Takata,https://www.themoviedb.org/movie/719088
77,Swim,75,"Horror,Action",08/13/2021,1h 27m,Jared Cohn,https://www.themoviedb.org/movie/861057
78,El Paseo 6,35,Comedy,12/25/2021,1h 37m,Rodrigo Triana,https://www.themoviedb.org/movie/920143
79,Jackass Forever,72,"Action,Comedy,Documentary",02/04/2022,1h 36m,Jeff Tremaine,https://www.themoviedb.org/movie/656663
80,Zone 414,55,"Science Fiction,Thriller,Mystery",09/03/2021,1h 38m,Andrew Baird,https://www.themoviedb.org/movie/675319
81,Misfit #EresOTeHaces,81,Comedy,10/15/2021,0,Andrew Baird,https://www.themoviedb.org/movie/893941
82,The Marksman,70,"Action,Thriller,Crime",01/15/2021,1h 48m,Robert Lorenz,https://www.themoviedb.org/movie/634528
83,Separation,57,"Horror,Drama",04/30/2021,1h 47m,William Brent Bell,https://www.themoviedb.org/movie/760195
84,King Richard,80,"Drama,History",11/19/2021,2h 25m,Reinaldo Marcus Green,https://www.themoviedb.org/movie/614917
85,Spirit Untamed,75,"Animation,Adventure,Family,Western",06/04/2021,1h 28m,Elaine Bogan,https://www.themoviedb.org/movie/637693
86,Narco Sub,67,"Action,Drama,Crime",01/22/2021,1h 33m,Shawn Welling,https://www.themoviedb.org/movie/706972
87,Pretty Guardian Sailor Moon Eternal The Movie Part 2,81,"Animation,Action,Adventure,Comedy,Drama,Fantasy,Romance",02/11/2021,1h 20m,Chiaki Kon,https://www.themoviedb.org/movie/784500
88,Ida Red,59,"Crime,Thriller,Drama,Action",11/05/2021,1h 51m,John Swab,https://www.themoviedb.org/movie/818192
89,American Underdog,72,Drama,12/25/2021,1h 52m,Andrew Erwin,https://www.themoviedb.org/movie/673309
90,Jujutsu Kaisen 0,79,"Animation,Action,Adventure,Mystery",12/24/2021,1h 45m,Sunghoo Park,https://www.themoviedb.org/movie/810693
91,Sinkhole,71,"Comedy,Drama",08/11/2021,1h 53m,Kim Ji-hoon,https://www.themoviedb.org/movie/623135
92,Monster Family 2,71,"Animation,Family",01/13/2021,1h 43m,Holger Tappe,https://www.themoviedb.org/movie/823609
93,Morbius,NR,"Action,Science Fiction,Fantasy",04/01/2022,1h 48m,Daniel Espinosa,https://www.themoviedb.org/movie/526896
94,Descendants: The Royal Wedding,70,"TV Movie,Animation,Comedy,Family,Drama",08/13/2021,22m,Salvador Simó,https://www.themoviedb.org/movie/805411
95,Dragon Ball Super: Super Hero,NR,"Animation,Science Fiction,Action",04/22/2022,0,Tetsuro Kodama,https://www.themoviedb.org/movie/610150
96,Seobok: Project Clone,76,"Science Fiction,Action",04/15/2021,1h 54m,Lee Yong-ju,https://www.themoviedb.org/movie/586047
97,Book of Love,53,"Comedy,Romance",01/06/2022,1h 46m,Analeine Cal y Mayor,https://www.themoviedb.org/movie/892835
98,The Haunting of Helena,56,"Horror,Thriller",06/21/2013,1h 27m,Ascanio Malgarini,https://www.themoviedb.org/movie/159211
99,Mutation on Mars,66,"Drama,Science Fiction",08/27/2021,0,Ascanio Malgarini,https://www.themoviedb.org/movie/866408
100,Your Name.,85,"Romance,Animation,Drama",08/26/2016,1h 46m,Makoto Shinkai,https://www.themoviedb.org/movie/372058
101,Death on the Nile,67,"Mystery,Crime,Drama,Thriller",02/11/2022,2h 7m,Kenneth Branagh,https://www.themoviedb.org/movie/505026
102,Fantastic Beasts: The Secrets of Dumbledore,NR,"Fantasy,Adventure",04/15/2022,0,David Yates,https://www.themoviedb.org/movie/338953
103,Ted 2,63,Comedy,06/26/2015,1h 55m,Seth MacFarlane,https://www.themoviedb.org/movie/214756
104,The King's Daughter,75,"Fantasy,Drama,Romance,History",01/21/2022,1h 34m,Sean McNamara,https://www.themoviedb.org/movie/245842
105,Project X,68,Comedy,03/02/2012,1h 28m,Nima Nourizadeh,https://www.themoviedb.org/movie/57214
106,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,84,"Animation,Adventure,Comedy,Fantasy",08/30/2019,1h 30m,Takaomi Kanasaki,https://www.themoviedb.org/movie/532067
107,Ashfall,66,"Action,Adventure,Thriller",12/19/2019,2h 8m,Lee Hae-jun,https://www.themoviedb.org/movie/581387
108,Injustice,78,"Animation,Science Fiction,Fantasy,Action",10/09/2021,1h 18m,Matt Peters,https://www.themoviedb.org/movie/831405
109,Jiu Jitsu,50,"Action,Science Fiction,Fantasy",11/20/2020,1h 42m,Dimitri Logothetis,https://www.themoviedb.org/movie/590706
110,Doctor Strange in the Multiverse of Madness,NR,"Fantasy,Action,Adventure",05/06/2022,2h 28m,Sam Raimi,https://www.themoviedb.org/movie/453395
111,Rascal Does Not Dream of a Dreaming Girl,84,"Animation,Comedy,Romance,Drama,Fantasy",06/15/2019,1h 30m,Souichi Masui,https://www.themoviedb.org/movie/572154
112,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,82,"Animation,Comedy,Mystery,Family,Fantasy",09/14/2021,1h 12m,Cecilia Aranovich,https://www.themoviedb.org/movie/843906
113,American Badger,59,Action,06/15/2021,1h 28m,Kirk Caouette,https://www.themoviedb.org/movie/768449
114,Coraline,78,"Animation,Family,Fantasy",02/06/2009,1h 40m,Henry Selick,https://www.themoviedb.org/movie/14836
115,Descarrilados,51,Comedy,08/20/2021,0,Fernando García-Ruiz Rubio,https://www.themoviedb.org/movie/772388
116,Legion,58,"Horror,Action,Fantasy",01/22/2010,1h 40m,Scott Stewart,https://www.themoviedb.org/movie/22894
117,The Exorcism of Carmen Farias,62,Horror,05/05/2021,1h 33m,Rodrigo Fiallega,https://www.themoviedb.org/movie/675024
118,Goblin Slayer: Goblin's Crown,76,"Animation,Adventure,Action,Fantasy",02/01/2020,1h 25m,Takaharu Ozaki,https://www.themoviedb.org/movie/631132
119,Why Women Cheat,33,Romance,07/06/2021,1h 17m,Takaharu Ozaki,https://www.themoviedb.org/movie/848932
120,Dragon Ball Z: Broly – The Legendary Super Saiyan,72,"Animation,Science Fiction,Action",03/06/1993,1h 10m,Shigeyasu Yamauchi,https://www.themoviedb.org/movie/34433
121,Hancock,63,"Fantasy,Action",07/01/2008,1h 32m,Peter Berg,https://www.themoviedb.org/movie/8960
122,Garota da Moto,56,Action,09/23/2021,0,Luis Pinheiro,https://www.themoviedb.org/movie/876262
123,Teen Titans Go! See Space Jam,69,"Animation,Action,Adventure,Comedy,Family,Fantasy,Science Fiction",07/27/2021,1h 20m,Peter Rida Michail,https://www.themoviedb.org/movie/834404
124,Mamá o papá,75,"Comedy,Family",12/17/2021,1h 43m,Dani de la Orden,https://www.themoviedb.org/movie/755437
125,Three Steps Above Heaven,78,"Romance,Drama",12/03/2010,2h 2m,Fernando González Molina,https://www.themoviedb.org/movie/61979
126,Naruto Shippuden the Movie: Road to Ninja,76,"Animation,Fantasy,Action",07/28/2012,1h 49m,Hayato Date,https://www.themoviedb.org/movie/118406
127,Ambulance,90,"Action,Crime,Thriller",04/08/2022,2h 16m,Michael Bay,https://www.themoviedb.org/movie/763285
128,The Penitent Thief,42,Drama,02/25/2021,1h 33m,Lucas Miles,https://www.themoviedb.org/movie/778552
129,Voyagers,62,"Science Fiction,Thriller",04/09/2021,1h 48m,Neil Burger,https://www.themoviedb.org/movie/597890
130,Dragon Ball Z: Broly – Second Coming,67,"Animation,Action,Science Fiction",03/12/1994,48m,Shigeyasu Yamauchi,https://www.themoviedb.org/movie/44251
131,Masquerade,64,Thriller,07/30/2021,1h 20m,Shane Dax Taylor,https://www.themoviedb.org/movie/835551
132,Dragon Ball Z: Battle of Gods,68,"Animation,Action,Science Fiction",03/30/2013,1h 25m,Masahiro Hosoda,https://www.themoviedb.org/movie/126963
133,Mortal Kombat Legends: Battle of the Realms,80,"Animation,Action,Fantasy",08/31/2021,1h 20m,Ethan Spaulding,https://www.themoviedb.org/movie/841755
134,Girl in the Basement,81,"Crime,Thriller",02/27/2021,1h 30m,Elisabeth Röhm,https://www.themoviedb.org/movie/801335
135,Mickey and Minnie Wish Upon a Christmas,71,Animation,12/24/2021,47m,Broni Likomanov,https://www.themoviedb.org/movie/864390
136,Rogue Hostage,62,"Action,Thriller",06/11/2021,1h 34m,Jon Keeyes,https://www.themoviedb.org/movie/825997
137,El amarre,70,Horror,10/21/2021,1h 17m,Tamae Garateguy,https://www.themoviedb.org/movie/676840
138,The Belly of the Sea,40,Drama,11/12/2021,1h 18m,Agustí Villaronga,https://www.themoviedb.org/movie/814608
139,Grisaia: Phantom Trigger The Animation,35,"Action,Animation",11/27/2020,1h 30m,Motoki Tanaka,https://www.themoviedb.org/movie/601980
140,Solitary,57,Science Fiction,08/31/2020,1h 29m,Luke Armstrong,https://www.themoviedb.org/movie/725273
141,Weathering with You,81,"Animation,Drama,Fantasy,Romance",07/19/2019,1h 52m,Makoto Shinkai,https://www.themoviedb.org/movie/568160
142,Fifty Shades Freed,67,"Drama,Romance",02/09/2018,1h 45m,James Foley,https://www.themoviedb.org/movie/337167
143,White Chicks,69,"Comedy,Crime",06/23/2004,1h 49m,Keenen Ivory Wayans,https://www.themoviedb.org/movie/12153
144,Dragon Ball Z: Bio-Broly,58,"Animation,Action,Science Fiction",07/09/1994,50m,Yoshihiro Ueda,https://www.themoviedb.org/movie/39106
145,The Texas Chainsaw Massacre,62,Horror,10/17/2003,1h 38m,Marcus Nispel,https://www.themoviedb.org/movie/9373
146,The Passion of the Christ,74,Drama,05/07/2004,2h 7m,Mel Gibson,https://www.themoviedb.org/movie/615
147,Plan A,61,Thriller,12/09/2021,1h 49m,Yoav Paz,https://www.themoviedb.org/movie/714968
148,Naruto Shippuden the Movie: Blood Prison,72,"Thriller,Animation,Action,Comedy,Horror,Mystery",07/30/2011,1h 48m,Masahiko Murata,https://www.themoviedb.org/movie/75624
149,Aquaslash,41,"Horror,Comedy",06/23/2020,1h 12m,Renaud Gauthier,https://www.themoviedb.org/movie/607383
150,Come Play With Me,71,Horror,02/25/2021,1h 20m,Adrián García Bogliano,https://www.themoviedb.org/movie/676845
151,¡Qué Despadre!,57,"Comedy,Family,Romance",02/09/2022,1h 39m,Pedro Pablo Ibarra,https://www.themoviedb.org/movie/937337
152,Pokémon the Movie: I Choose You!,70,"Family,Animation,Adventure,Fantasy",11/24/2017,1h 38m,Kunihiko Yuyama,https://www.themoviedb.org/movie/436931
153,Caged,62,"Thriller,Horror",07/05/2021,1h 21m,Aaron Fjellman,https://www.themoviedb.org/movie/777620
154,Please Enlighten Me,20,Romance,02/03/2021,1h 16m,Lu Ying,https://www.themoviedb.org/movie/793147
155,Fresh,69,"Horror,Thriller,Comedy",03/04/2022,1h 54m,Mimi Cave,https://www.themoviedb.org/movie/787752
156,PAW Patrol: Jet To The Rescue,70,"Family,Animation",09/10/2020,56m,Charles E. Bastien,https://www.themoviedb.org/movie/743439
157,Cuidado con lo que deseas,46,"Family,Fantasy,Comedy",11/12/2021,0,Fernando Colomo,https://www.themoviedb.org/movie/893164
158,Porn to Be Free,55,Documentary,06/24/2016,1h 19m,Carmine Amoroso,https://www.themoviedb.org/movie/381749
159,Jurassic World Dominion,NR,"Adventure,Action,Science Fiction,Thriller",06/10/2022,0,Colin Trevorrow,https://www.themoviedb.org/movie/507086
160,El club del paro,48,Comedy,09/17/2021,0,David Marqués,https://www.themoviedb.org/movie/809778
