Company Name,Experience,Job Location,Job Description,Key Skills,Post Date,Job Link
Ivan Infotech Pvt. Ltd.,2 - 5 yrs,Kolkata,"We are looking for a Python Developer to join our development team. Python Developer responsibilities include writing and testing code ,  debugging programs and integrating ap... More Details","rest  ,  python  ,  security  ,  debugging",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
crescendo global,4 - 8 yrs,Gurgaon,"Creating and deploying RESTful service or writing data pipelines in any programming language.Working with Databases  ( Atleast one relational ,  and one NoSQL ) .REQUIREMENTS:... More Details","python  ,  devops  ,  big data  ,  nosql",Posted 3 days ago,https://www.timesjobs.com/job-detail/python-azure-crescendo-global-gurgaon-4-to-8-yrs-jobid-et9IZevATNxzpSvf__PLUS__uAgZw==&source=srp
TEAMPLUS STAFFING SOLUTION PVT. LTD.,6 - 9 yrs,Pune,IndustryITPrevious Work Experience6 -9 YRSSalaryAs Per IndustryJob FunctionTechnologySkill 4  years of Python scripting- need framework development experience  ( 3 / 5 )  3  y... More Details,"python  ,  python scripting  ,  shell scripting  ,  unix",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-pune-6-to-9-yrs-jobid-bjMgIT2lz6JzpSvf__PLUS__uAgZw==&source=srp
Gibots,1 - 2 yrs,Pune,"Python Developer Exp: 1-2 yearsPuneJob Description:Write reusable , testable ,  and efficient codeDesign and implement of low-latency , high-availability ,  and performance ap... More Details","python  ,   elements developed  ,   performance applications",Posted 5 days ago,https://www.timesjobs.com/job-detail/python-developer-gibots-pune-1-to-2-yrs-jobid-3x1kaokioYFzpSvf__PLUS__uAgZw==&source=srp
Anantha Cyber Tech Pvt Limited,3 - 6 yrs,Hyderabad/Secunderabad,Job title Openings for Python Developer Designation Python Developer Description Required Skills : # Strong Working Experience Python Development. # Good Experience in C OR C ... More Details,"python  ,  c    ,  c  ,  information technology",Posted 5 days ago,https://www.timesjobs.com/job-detail/python-developer-anantha-cyber-tech-pvt-limited-hyderabad-secunderabad-3-to-6-yrs-jobid-QF9wZ4AGuzlzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,3 - 5 yrs,Mohali,Hiring for Python Developer for Females in MNC Company for Mohali locationProfile  Python DeveloperExperience  3 to 5 yearsLocation  MohaliGender Preference  FemaleQualificati... More Details,"Django framework  ,  Python Developer  ,  core python",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp
Splice Global Services Pvt Ltd,2 - 5 yrs,Gurgaon,"Experience : 1 - 5 yearsSkills : OOPS Concept ,  Python ,  DjangoJob Location : GurugramPrimary Responsibilities Include:Design and develop software for medium and large-scale... More Details","python  ,  django  ,  git  ,  postgresql  ,  oops  ,  linux  ,  mysql",Posted today,https://www.timesjobs.com/job-detail/python-developer-splice-global-services-pvt-ltd-gurgaon-2-to-5-yrs-jobid-Jnds36iU0vVzpSvf__PLUS__uAgZw==&source=srp
east india securities ltd.,2 - 5 yrs,Kolkata,job_description   2  years of experience working with python    Strong analytical skills    Ability to churn scripting solutions with a quick turnaround time    Inclination to... More Details,"python  ,  hadoop  ,  machine learning",Posted few days ago,https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
Golden Opportunities Pvt Ltd,5 - 8 yrs,Chennai,Client of Golden Opportunities 5 - 8yrsChennaiJob Description Python Candidate Specification Job Description: Should have experience working with in Python and SQL. Elasticsea... More Details,"python  ,  information technology  ,  sql",Posted few days ago,https://www.timesjobs.com/job-detail/python-developers-golden-opportunities-pvt-ltd-chennai-5-to-8-yrs-jobid-PhsasbleP6xzpSvf__PLUS__uAgZw==&source=srp
sjain ventures,0 - 3 yrs,Raipur,"Python intern A Python Web Developer is responsible for writing server-side web application logic. Python web developers usually develop back-end components ,  connect the app... More Details","python  ,  web developer  ,  web services",Posted few days ago,https://www.timesjobs.com/job-detail/python-intern-sjain-ventures-raipur-0-to-3-yrs-jobid-KmspiL9__SLASH__D9hzpSvf__PLUS__uAgZw==&source=srp
Datagrid Solutions,2 - 3 yrs,Mumbai,"Write well designed and optimized codeContribute in all phases of development lifecycle - troubleshoot ,  test and maintain the core product and database to ensure strong opti... More Details","python  ,  database  ,  django  ,  mysql  ,  api",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-datagrid-solutions-mumbai-2-to-3-yrs-jobid-yAspoeIZIo5zpSvf__PLUS__uAgZw==&source=srp
systango,5 - 8 yrs,Indore,"Job Description Develop a web-based application using Python ,  Django ,  JavaScriptDesign ,  document ,  implement and provide leadership on a large core part of the manageme... More Details","python  ,  django  ,  javascript  ,  web programming",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-systango-indore-5-to-8-yrs-jobid-YtDomXdajg5zpSvf__PLUS__uAgZw==&source=srp
